"Toxigenic_status","id_number","Strain_number","spot","type_of_extraction"
"norec",1,"10263180","H7","fae"
"norec",2,"10263180","H8","fae"
"norec",3,"10263180","H9","fae"
"norec",4,"10303688","G4","fae"
"norec",5,"10303688","G5","fae"
"norec",6,"10303688","G6","fae"
"norec",7,"10578818","E1","fae"
"norec",8,"10578818","E2","fae"
"norec",9,"10578818","E3","fae"
"norec",10,"10666319","F7","fae"
"norec",11,"10666319","F8","fae"
"norec",12,"10666319","F9","fae"
"norec",13,"10853120","F7","fae"
"norec",14,"10853120","F8","fae"
"norec",15,"10853120","F9","fae"
"norec",16,"10853482","D7","fae"
"norec",17,"10853482","D8","fae"
"norec",18,"10853482","D9","fae"
"norec",19,"11943430","C1","fae"
"norec",20,"11943430","C2","fae"
"norec",21,"11943430","C3","fae"
"norec",22,"12383144","G4","fae"
"norec",23,"12383144","G5","fae"
"norec",24,"12383144","G6","fae"
"norec",25,"13603554","G10","fae"
"norec",26,"13603554","G11","fae"
"norec",27,"13603554","G12","fae"
"norec",28,"13773837","G10","fae"
"norec",29,"13773837","G11","fae"
"norec",30,"13773837","G12","fae"
"norec",31,"13809106","B4","fae"
"norec",32,"13809106","B5","fae"
"norec",33,"13809106","B6","fae"
"norec",34,"13818900","E7","fae"
"norec",35,"13818900","E8","fae"
"norec",36,"13818900","E9","fae"
"norec",37,"14084987","B1","fae"
"norec",38,"14084987","B2","fae"
"norec",39,"14084987","B3","fae"
"norec",40,"14154148","A10","fae"
"norec",41,"14154148","A11","fae"
"norec",42,"14154148","A12","fae"
"norec",43,"15053156","C7","fae"
"norec",44,"15053156","C8","fae"
"norec",45,"15053156","C9","fae"
"norec",46,"15533877","C1","fae"
"norec",47,"15533877","C2","fae"
"norec",48,"15533877","C3","fae"
"norec",49,"15568377","D1","fae"
"norec",50,"15568377","D2","fae"
"norec",51,"15568377","D3","fae"
"norec",52,"15657557","H10","fae"
"norec",53,"15657557","H11","fae"
"norec",54,"15657557","H12","fae"
"norec",55,"15709648","D10","fae"
"norec",56,"15709648","D11","fae"
"norec",57,"15709648","D12","fae"
"norec",58,"17518453","D7","fae"
"norec",59,"17518453","D8","fae"
"norec",60,"17518453","D9","fae"
"norec",61,"18693142","D10","fae"
"norec",62,"18693142","D11","fae"
"norec",63,"18693142","D12","fae"
"norec",64,"18745321","B4","fae"
"norec",65,"18745321","B5","fae"
"norec",66,"18745321","B6","fae"
"norec",67,"18873883","C10","fae"
"norec",68,"18873883","C11","fae"
"norec",69,"18873883","C12","fae"
"norec",70,"19503882","C7","fae"
"norec",71,"19503882","C8","fae"
"norec",72,"19503882","C9","fae"
"norec",73,"19603137","C7","fae"
"norec",74,"19603137","C8","fae"
"norec",75,"19603137","C9","fae"
"norec",76,"20073131","H4","fae"
"norec",77,"20073131","H5","fae"
"norec",78,"20073131","H6","fae"
"norec",79,"20373842","H1","fae"
"norec",80,"20373842","H2","fae"
"norec",81,"20373842","H3","fae"
"norec",82,"20613146","G7","fae"
"norec",83,"20613146","G8","fae"
"norec",84,"20613146","G9","fae"
"norec",85,"22304080","H10","fae"
"norec",86,"22304080","H11","fae"
"norec",87,"22304080","H12","fae"
"norec",88,"22373198","D7","fae"
"norec",89,"22373198","D8","fae"
"norec",90,"22373198","D9","fae"
"norec",91,"22513784","C1","fae"
"norec",92,"22513784","C2","fae"
"norec",93,"22513784","C3","fae"
"norec",94,"23599663","E4","fae"
"norec",95,"23599663","E5","fae"
"norec",96,"23599663","E6","fae"
"norec",97,"24189678","E10","fae"
"norec",98,"24189678","E11","fae"
"norec",99,"24189678","E12","fae"
"norec",100,"24959156","C4","fae"
"norec",101,"24959156","C5","fae"
"norec",102,"24959156","C6","fae"
"norec",103,"26023673","G1","fae"
"norec",104,"26023673","G2","fae"
"norec",105,"26023673","G3","fae"
"norec",106,"26199639","D7","fae"
"norec",107,"26199639","D8","fae"
"norec",108,"26199639","D9","fae"
"norec",109,"26703716","H4","fae"
"norec",110,"26703716","H5","fae"
"norec",111,"26703716","H6","fae"
"norec",112,"27333138","C10","fae"
"norec",113,"27333138","C11","fae"
"norec",114,"27333138","C12","fae"
"norec",115,"27793129","G10","fae"
"norec",116,"27793129","G11","fae"
"norec",117,"27793129","G12","fae"
"norec",118,"27973126","G4","fae"
"norec",119,"27973126","G5","fae"
"norec",120,"27973126","G6","fae"
"norec",121,"28183897","D4","fae"
"norec",122,"28183897","D5","fae"
"norec",123,"28183897","D6","fae"
"norec",124,"28473900","D7","fae"
"norec",125,"28473900","D8","fae"
"norec",126,"28473900","D9","fae"
"norec",127,"28964700","E4","fae"
"norec",128,"28964700","E5","fae"
"norec",129,"28964700","E6","fae"
"norec",130,"30263511","G1","fae"
"norec",131,"30263511","G2","fae"
"norec",132,"30263511","G3","fae"
"norec",133,"30713113","E4","fae"
"norec",134,"30713113","E5","fae"
"norec",135,"30713113","E6","fae"
"norec",136,"30943798","C10","fae"
"norec",137,"30943798","C11","fae"
"norec",138,"30943798","C12","fae"
"norec",139,"31209690","F1","fae"
"norec",140,"31209690","F2","fae"
"norec",141,"31209690","F3","fae"
"norec",142,"31249072","F10","fae"
"norec",143,"31249072","F11","fae"
"norec",144,"31249072","F12","fae"
"norec",145,"31337756","C10","fae"
"norec",146,"31337756","C11","fae"
"norec",147,"31337756","C12","fae"
"norec",148,"31563549","B7","fae"
"norec",149,"31563549","B8","fae"
"norec",150,"31563549","B9","fae"
"norec",151,"32053884","D1","fae"
"norec",152,"32053884","D2","fae"
"norec",153,"32053884","D3","fae"
"norec",154,"32128446","D4","fae"
"norec",155,"32128446","D5","fae"
"norec",156,"32128446","D6","fae"
"norec",157,"32299414","C10","fae"
"norec",158,"32299414","C11","fae"
"norec",159,"32299414","C12","fae"
"norec",160,"32393835","G7","fae"
"norec",161,"32393835","G8","fae"
"norec",162,"32393835","G9","fae"
"norec",163,"32593780","H10","fae"
"norec",164,"32593780","H11","fae"
"norec",165,"32593780","H12","fae"
